icon,hits
arrow-down-z-a,7210
tent,7208
arrow-down-narrow-wide,7185
align-vertical-justify-center,7171
alarm-clock-plus,7162
log-in,7159
droplet,7142
images,7140
rotate-cw,7128
blend,7070
ethernet-port,7067
layout,6990
bell-off,6969
between-horizontal-end,6969
check-circle-2,6937
arrow-big-left-dash,6931
list-plus,6906
battery-charging,6888
arrow-up-0-1,6865
image-off,6838
folder-open,6836
bean-off,6818
hat-glasses,6818
bug-off,6817
blocks,6800
undo,6799
rectangle-ellipsis,6770
flask-conical,6729
book-dashed,6714
bone,6693
arrow-down-wide-narrow,6688
arrow-up-1-0,6676
circle-off,6667
biceps-flexed,6649
file-pen,6589
drum,6564
ellipsis,6551
blinds,6551
image-down,6542
caravan,6532
mars,6531
bookmark,6524
monitor,6523
book-minus,6482
life-buoy,6454
candy-off,6448
banknote,6441
monitor-play,6429
tv-minimal-play,6428
cake,6425
backpack,6415
between-vertical-end,6376
clipboard,6367
diamond-minus,6366
hammer,6327
annoyed,6327
battery-warning,6307
school,6303
barrel,6302
eclipse,6298
bot-off,6291
chart-network,6280
view,6279
brick-wall,6279
chart-spline,6267
crown,6257
image-plus,6256
chart-area,6216
arrow-up-a-z,6214
house,6210
chart-bar,6205
columns-3,6193
circle-power,6170
shield-plus,6166
headset,6163
shield-x,6161
beaker,6152
pin,6113
circle-slash,6106
bot-message-square,6099
book-key,6094
utensils,6089
disc-3,6070
shield-ban,6054
venus-and-mars,6047
arrow-up-z-a,6043
circle-dollar-sign,6021
bluetooth-searching,5995
brush,5949
ellipsis-vertical,5948
binary,5943
folder-kanban,5913
trees,5911
library,5899
columns-2,5889
ruler,5873
file-code,5856
bubbles,5846
book-search,5798
gpu,5795
mountain,5772
chart-bar-stacked,5733
receipt,5732
bell-plus,5721
trophy,5715
pencil-ruler,5709
tv-minimal,5698
arrow-up-narrow-wide,5679
panel-left,5663
gallery-horizontal-end,5661
mouse-pointer-2,5656
bell-minus,5653
notebook,5649
diamond-plus,5625
battery-full,5619
axis-3d,5610
library-big,5598
clipboard-clock,5596
chart-bar-big,5589
chart-line,5580
calendar-check-2,5574
codesandbox,5561
calendar-arrow-down,5548
panel-right,5546
folder-search,5536
chart-no-axes-combined,5523
bell-ring,5522
drafting-compass,5512
files,5510
wheat,5510
paint-bucket,5502
skip-forward,5500
bluetooth-connected,5495
eraser,5488
wifi,5481
arrow-up-wide-narrow,5468
battery,5452
sliders-horizontal,5447
chart-column-big,5440
skull,5439
hourglass,5438
notebook-text,5418
notebook-pen,5406
toolbox,5404
book-up-2,5404
chart-bar-decreasing,5399
gallery-vertical-end,5389
rainbow,5389
locate-off,5389
copy-plus,5389
disc,5387
circle-pile,5384
beer-off,5372
file-check,5369
bell-dot,5367
book-lock,5324
ferris-wheel,5324
circle-slash-2,5312
laptop,5311
circle-fading-plus,5308
cloud-backup,5306
map-pin-house,5302
proportions,5295
hand-coins,5294
video-off,5290
angry,5276
fire-extinguisher,5257
cloud-moon-rain,5230
circle-dot,5227
ruler-dimension-line,5220
closed-caption,5207
cctv,5199
battery-medium,5178
cloud-alert,5173
boxes,5164
ratio,5147
square-minus,5144
scan-eye,5141
grip-vertical,5131
pill,5126
calendar-plus,5120
hamburger,5109
wallpaper,5102
notebook-tabs,5083
chart-bar-increasing,5082
chart-column-stacked,5071
footprints,5068
battery-low,5062
square-activity,5060
locate-fixed,5049
database-zap,5043
network,5029
circle-star,5018
captions-off,5016
trending-down,5014
file-user,5012
circle-help,5000
music-4,4998
cloud-hail,4997
film,4993
rss,4981
keyboard-music,4980
puzzle,4969
pin-off,4964
bug-play,4958
arrow-up-from-dot,4955
crop,4921
arrow-down-left,4917
signature,4911
monitor-cloud,4909
sticky-note,4901
calendar-sync,4898
hdmi-port,4881
triangle-alert,4864
chart-column-decreasing,4844
cable-car,4836
flag-off,4833
disc-album,4822
flask-conical-off,4809
redo,4801
shield-question-mark,4794
plus-circle,4786
spotlight,4777
snowflake,4773
bed-single,4773
projector,4765
package-open,4763
chevrons-left,4755
chess-king,4754
stethoscope,4746
bluetooth-off,4743
notepad-text,4743
cat,4721
grid-3x2,4713
badge-minus,4688
candy-cane,4685
omega,4684
cloud-sun-rain,4664
chart-no-axes-column-decreasing,4660
chart-column-increasing,4649
waypoints,4649
dessert,4636
guitar,4631
cassette-tape,4626
arrow-down-right,4624
gallery-thumbnails,4619
file-down,4612
combine,4580
workflow,4573
monitor-cog,4571
dice-2,4571
id-card,4568
bomb,4555
forward,4554
container,4554
volleyball,4551
shield-ellipsis,4546
store,4541
beer,4538
sprout,4537
users-round,4537
monitor-pause,4533
dice-3,4506
folder-dot,4496
file-chart-column-increasing,4495
chart-no-axes-column-increasing,4491
slack,4484
arrow-up-left,4468
file-axis-3d,4467
chart-pie,4463
flask-round,4444
command,4429
power,4419
globe-lock,4415
chart-no-axes-column,4404
form,4398
columns-3-cog,4393
land-plot,4384
dice-1,4382
check-check,4375
navigation,4374
component,4371
chart-scatter,4371
castle,4366
corner-up-right,4360
kanban,4357
square-pen,4356
droplet-off,4349
file-search,4327
inbox,4325
book-down,4318
calendar-heart,4317
computer,4315
briefcase-conveyor-belt,4306
earth,4297
factory,4294
dice-4,4283
clock-7,4269
copy-slash,4267
scroll-text,4266
square-plus,4265
gallery-horizontal,4260
database-backup,4255
braces,4250
grid-2x2-check,4244
gavel,4243
baseline,4242
pause,4231
chart-column,4228
file-image,4212
thermometer-sun,4211
key-square,4209
bring-to-front,4206
cloud-cog,4201
dice-6,4199
ticket-slash,4190
chess-queen,4189
bitcoin,4187
user-round,4171
file-sliders,4166
square-chart-gantt,4166
grid-2x2-plus,4165
badge-plus,4161
clipboard-plus,4158
calendar-off,4152
drama,4151
diamond,4137
dice-5,4135
square-library,4126
monitor-stop,4114
pickaxe,4112
chart-gantt,4110
phone-call,4106
frame,4105
hd,4104
plug-zap,4095
hotel,4094
maximize,4093
heart-minus,4089
dot,4085
contact-round,4082
fingerprint-pattern,4075
circle-minus,4075
message-circle-heart,4069
syringe,4068
list-chevrons-down-up,4065
briefcase-medical,4063
swords,4063
door-open,4059
text-search,4051
list-chevrons-up-down,4049
calendar-arrow-up,4049
table-of-contents,4041
calendar-minus-2,4037
message-square-more,4021
package-2,4009
telescope,4009
stop-circle,3999
ticket-x,3996
expand,3993
grid-2x2-x,3989
zoom-in,3977
circle-arrow-out-up-left,3975
fullscreen,3970
flower,3968
chevrons-up-down,3958
mail-check,3955
more-horizontal,3946
bird,3945
loader-pinwheel,3944
framer,3941
bold,3927
circle-percent,3926
dock,3922
chromium,3917
drone,3914
corner-down-right,3910
car-front,3906
file-music,3904
boom-box,3894
hand-fist,3881
umbrella-off,3879
shirt,3878
gallery-vertical,3875
radio,3870
terminal-square,3864
book-up,3862
clipboard-minus,3854
calendar-plus-2,3846
badge-x,3845
dices,3832
switch-camera,3825
languages,3824
pen-off,3824
fish-off,3820
martini,3816
crosshair,3814
ear-off,3812
grip-horizontal,3800
plane-takeoff,3796
focus,3792
file-plus,3782
hand,3781
swatch-book,3777
calendar-1,3775
shield-minus,3773
pencil-off,3769
list-collapse,3748
microscope,3748
keyboard,3743
plane,3740
dna-off,3735
chevrons-left-right,3730
volume-x,3706
pencil-line,3701
flower-2,3699
chef-hat,3696
disc-2,3693
codepen,3687
diamond-percent,3685
cloud-moon,3672
scan-search,3661
bookmark-check,3659
message-square-heart,3658
cigarette-off,3650
group,3647
badge-info,3646
turntable,3636
thermometer-snowflake,3629
captions,3628
hospital,3626
send-horizontal,3626
hexagon,3621
circle-dashed,3618
case-sensitive,3618
paintbrush-vertical,3617
clock-12,3612
message-circle-warning,3602
anchor,3601
weight,3600
birdhouse,3594
message-square-warning,3593
parentheses,3589
chess-bishop,3581
bow-arrow,3579
circle-parking-off,3574
file-chart-line,3568
map-pinned,3565
megaphone-off,3562
ear,3561
circle-arrow-down,3561
paintbrush,3561
shredder,3557
square-chevron-right,3552
hand-platter,3550
earth-lock,3542
badge-alert,3535
candy,3531
shopping-basket,3524
tickets-plane,3522
receipt-text,3522
scroll,3520
chevrons-right,3516
circle-fading-arrow-up,3508
folder-code,3507
gamepad-directional,3505
pause-circle,3499
git-branch,3499
equal,3480
wine-off,3475
scan,3472
glass-water,3464
biohazard,3462
circle-arrow-up,3459
scan-line,3458
picture-in-picture-2,3456
square-power,3446
fishing-hook,3444
monitor-smartphone,3444
circle-pound-sterling,3439
popcorn,3417
milk-off,3413
chess-knight,3413
lamp-desk,3407
message-circle-off,3403
scan-face,3395
euro,3393
recycle,3388
file-input,3387
circle-arrow-right,3387
calendar-cog,3385
beef,3385
circle-dot-dashed,3383
memory-stick,3382
monitor-check,3380
file-chart-column,3375
train-front,3369
cloud-sync,3368
flame-kindling,3362
speech,3361
house-heart,3359
square-dashed-kanban,3355
ship-wheel,3340
ticket-check,3336
layers-2,3333
utensils-crossed,3326
rows-3,3316
van,3312
shrimp,3309
hard-drive,3306
smile-plus,3306
joystick,3301
brackets,3300
donut,3299
square-kanban,3295
clock-alert,3290
square-asterisk,3288
dumbbell,3287
user-cog,3283
laptop-minimal-check,3274
person-standing,3267
image-up,3264
monitor-dot,3262
cuboid,3260
cannabis-off,3257
circle-check-big,3257
calendar-minus,3248
bluetooth,3245
user-search,3244
videotape,3241
folder-cog,3236
tablet-smartphone,3230
hop-off,3228
folder-heart,3223
pill-bottle,3221
ship,3221
picture-in-picture,3217
file-chart-pie,3217
party-popper,3211
file-video-camera,3210
file-output,3208
helicopter,3205
monitor-x,3202
route-off,3194
route,3189
mouse-pointer-2-off,3184
scan-barcode,3179
message-square-off,3171
gitlab,3169
badge-question-mark,3166
circle-alert,3154
flashlight-off,3152
pyramid,3148
clock-arrow-down,3146
square-star,3145
line-chart,3140
house-plus,3139
shapes,3138
drill,3138
ticket-percent,3137
move-3d,3133
file-stack,3131
construction,3130
roller-coaster,3129
keyboard-off,3128
folder-search-2,3126
clock-arrow-up,3124
sun-moon,3121
wheat-off,3121
cloud-off,3096
cylinder,3090
panel-top-bottom-dashed,3080
