icon,hits
text-quote,1575
unplug,1571
traffic-cone,1561
square-arrow-out-down-left,1558
dam,1548
volume-off,1543
magnet,1543
radio-receiver,1541
scooter,1540
square-parking,1524
user-round-plus,1524
panel-bottom,1517
package-plus,1514
repeat-2,1510
file-question-mark,1508
sigma,1505
square-sigma,1505
package-x,1504
highlighter,1495
spline,1489
toilet,1486
verified,1483
shrink,1483
stretch-horizontal,1481
hop,1477
move-right,1476
move-up,1462
square-arrow-out-down-right,1459
rat,1453
egg-fried,1451
funnel-x,1450
text-wrap,1450
move-diagonal,1440
timer-reset,1428
turtle,1428
solar-panel,1425
user-round-minus,1420
satellite-dish,1416
square-chevron-down,1415
box-select,1410
sailboat,1409
file-volume,1403
user-round-cog,1396
unfold-horizontal,1394
unlink,1390
copyright,1388
list-filter-plus,1387
swiss-franc,1386
square-user-round,1385
move-down,1381
wifi-low,1371
table-cells-split,1370
table-cells-merge,1370
tangent,1364
superscript,1361
corner-down-left,1360
square-pause,1353
stretch-vertical,1352
slash,1351
separator-horizontal,1347
lock-keyhole-open,1343
saudi-riyal,1338
align-justify,1334
corner-right-up,1329
merge,1329
rewind,1324
octagon,1304
corner-right-down,1299
move-left,1290
corner-left-up,1287
user-lock,1286
square-user,1285
turkish-lira,1284
mouse,1281
file-check-2,1279
tablet,1278
separator-vertical,1275
list-filter,1268
webcam,1266
corner-up-left,1265
square-divide,1264
corner-left-down,1260
volume-1,1256
square-stop,1254
square-split-horizontal,1252
transgender,1251
step-back,1249
popsicle,1239
reply,1238
text-align-justify,1234
file-diff,1231
touchpad,1224
lock-open,1216
text-cursor-input,1209
reply-all,1208
pizza,1196
router,1187
regex,1181
volume,1176
file-plus-2,1174
watch,1173
move-up-right,1167
wifi-pen,1164
nut,1162
square-dot,1155
move-up-left,1132
download-cloud,1131
square-split-vertical,1126
iteration-ccw,1114
stars,1114
repeat-1,1092
iteration-cw,1089
kanban-square,1085
sun-medium,1083
text-align-center,1068
move-down-right,1068
pointer,1056
move-down-left,1040
funnel,1023
square-square,1015
slice,1011
text-align-end,1006
parking-circle,995
laptop-2,990
import,979
columns,966
text-cursor,940
sun-dim,936
printer-x,931
arrow-up-circle,929
align-left,904
pentagon,902
haze,901
move,896
square-equal,896
sliders,893
copyleft,857
user-circle,838
arrow-down-circle,827
subscript,764
bar-chart-4,749
fingerprint,730
squircle,705
plus-square,700
align-center,700
layers-3,672
grid,656
align-right,553
arrow-right-circle,545
edit-2,506
alert-octagon,492
file-json,409
indent,388
play-square,388
file-edit,350
minus-square,348
text,345
arrow-left-circle,302
file-warning,297
badge-help,290
git-commit,288
train,281
gantt-chart,280
file-json-2,270
file-video-2,266
candlestick-chart,258
outdent,257
test-tube-2,255
file-question,245
file-x-2,244
file-badge-2,227
file-audio,219
ice-cream,217
shield-question,216
mail-question,214
x-octagon,213
area-chart,213
alarm-minus,209
alarm-check,209
file-minus-2,208
bar-chart-big,207
function-square,205
file-bar-chart,205
users-2,204
bar-chart-horizontal,202
palmtree,201
file-lock-2,201
file-audio-2,201
file-type-2,200
x-square,198
grab,196
file-search-2,196
file-video,196
alarm-plus,193
gauge-circle,193
file-signature,184
file-volume-2,182
wrap-text,181
ice-cream-2,178
filter-x,176
folder-edit,174
bar-chart-horizontal-big,171
file-key-2,171
mic-2,169
activity-square,163
sort-asc,159
grid-3-x-3,159
tv-2,158
indent-decrease,158
indent-increase,158
folder-cog-2,158
file-bar-chart-2,156
pen-square,155
divide-circle,151
clipboard-edit,151
pause-octagon,149
file-line-chart,149
arrow-left-square,148
arrow-right-square,148
divide-square,147
inspect,146
arrow-down-za,146
arrow-up-az,146
arrow-up-10,146
file-pie-chart,146
arrow-down-01,145
arrow-up-01,145
chevron-right-square,145
arrow-down-square,145
arrow-down-10,144
arrow-down-az,143
sort-desc,142
form-input,142
chevron-up-square,142
square-gantt-chart,142
location-edit,142
clipboard-signature,142
chevron-left-square,141
arrow-up-square,141
arrow-up-za,140
arrow-up-right-from-square,140
scatter-chart,139
arrow-down-right-square,139
circle-slashed,138
chevron-down-square,138
chevron-right-circle,138
book-template,138
axis-3-d,137
chevron-left-circle,137
rows,137
chevron-down-circle,136
chevron-up-circle,136
arrow-down-left-square,135
arrow-down-right-from-square,135
paintbrush-2,134
pilcrow-square,134
arrow-down-left-from-circle,133
gantt-chart-square,133
asterisk-square,133
arrow-down-right-from-circle,132
arrow-up-right-square,132
letter-text,132
split-square-vertical,131
arrow-down-left-from-square,131
helping-hand,130
arrow-up-right-from-circle,130
arrow-up-left-from-square,130
arrow-up-left-square,130
shield-close,129
user-square,129
parking-square,129
code-square,129
contact-2,128
subtitles,128
file-axis-3-d,126
scissors-square,126
parking-square-off,125
arrow-up-left-from-circle,125
split-square-horizontal,124
between-horizonal-start,124
percent-square,123
check-square-2,123
sidebar-open,122
file-cog-2,122
pi-square,121
power-square,121
curly-braces,121
library-square,121
menu-square,121
sidebar-close,120
percent-circle,120
wallet-2,120
between-horizonal-end,120
columns-settings,119
school-2,119
mouse-pointer-square-dashed,118
percent-diamond,117
panels-left-right,117
fork-knife,117
fork-knife-crossed,117
plug-zap-2,116
parking-circle-off,116
scale-3-d,115
sigma-square,114
m-square,113
text-selection,111
equal-square,111
dot-square,111
table-config,110
kanban-square-dashed,110
user-check-2,108
grid-2-x-2-plus,107
user-plus-2,105
panel-bottom-inactive,105
scissors-square-dashed-bottom,105
send-horizonal,105
user-2,105
pen-box,105
user-minus-2,105
grid-2-x-2-check,105
panel-right-inactive,104
panel-left-inactive,104
panel-top-inactive,104
rotate-3-d,104
panels-top-bottom,103
user-cog-2,102
user-square-2,102
grid-2-x-2,100
slash-square,100
grid-2-x-2-x,99
power-circle,99
user-x-2,99
unlock-keyhole,91
move-3-d,90
circle-check.min,44
arrow-right.min,39
paintbrush.min,25
store.min,24
star.min,23
pen-tool.min,22
phone.min,21
arrow-up-right.min,20
chevron-down.min,20
chevron-right.min,20
code.min,20
cog.min,20
instagram.min,20
mail.min,20
map-pin.min,20
shrub.min,20
briefcase.min,19
cake.min,19
clock.min,19
layout-dashboard.min,19
truck.min,19
arrow-left.min,18
facebook.min,18
monitor.min,18
mouse-pointer-square,8
